timestamp [ns],worldFrame,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,number_point_matches,mapped
1703060749437034967,18,782.859,593.668,0.0,0.0,0,False
1703060749439912967,18,776.335,593.662,0.0,0.0,0,False
1703060749446317967,18,769.788,626.963,0.0,0.0,0,False
1703060749449250967,18,769.783,582.801,0.0,0.0,0,False
1703060749456419967,18,787.21,541.422,0.0,0.0,0,False
1703060749461917967,18,793.024,543.695,0.0,0.0,0,False
1703060749464835967,18,784.476,532.759,0.0,0.0,0,False
1703060749471141967,18,779.014,531.012,0.0,0.0,0,False
1703060749474562967,18,809.826,536.315,0.0,0.0,0,False
1703060749480431967,18,813.379,561.643,0.0,0.0,0,False
1703060749486742967,18,804.424,540.716,0.0,0.0,0,False
1703060749489832967,18,808.518,553.471,0.0,0.0,0,False
1703060749496142967,18,816.609,573.85,0.0,0.0,0,False
1703060749499158967,18,831.868,564.089,0.0,0.0,0,False
1703060749505595967,18,814.166,573.144,0.0,0.0,0,False
1703060749511725967,18,829.037,559.515,0.0,0.0,0,False
1703060749514836967,18,824.383,560.583,0.0,0.0,0,False
1703060749522923967,18,797.785,571.746,0.0,0.0,0,False
1703060749526078967,18,779.785,538.004,0.0,0.0,0,False
1703060749530422967,18,772.382,535.733,0.0,0.0,0,False
1703060749539875967,18,818.428,545.465,0.0,0.0,0,False
1703060749546089967,20,826.649,517.254,0.0,0.0,0,False
1703060749549191967,20,834.995,566.982,0.0,0.0,0,False
1703060749555520967,20,833.583,566.946,0.0,0.0,0,False
1703060749564798967,20,815.589,565.631,0.0,0.0,0,False
1703060749571114967,20,792.273,552.577,0.0,0.0,0,False
1703060749574409967,20,809.363,556.774,0.0,0.0,0,False
1703060749580587967,20,843.916,536.216,0.0,0.0,0,False
1703060749586832967,20,838.962,538.988,0.0,0.0,0,False
1703060749589915967,20,817.529,539.035,0.0,0.0,0,False
1703060749596102967,20,781.514,526.696,0.0,0.0,0,False
1703060749599829967,20,789.681,538.132,0.0,0.0,0,False
1703060749605410967,20,780.619,564.478,0.0,0.0,0,False
1703060749611709967,20,775.563,558.909,0.0,0.0,0,False
1703060749614828967,20,782.538,550.862,0.0,0.0,0,False
1703060749624233967,20,795.047,576.01,0.0,0.0,0,False
1703060749630518967,20,801.507,551.617,0.0,0.0,0,False
1703060749637022967,20,796.87,548.944,0.0,0.0,0,False
1703060749639887967,20,815.502,539.22,0.0,0.0,0,False
1703060749646251967,20,806.431,544.908,0.0,0.0,0,False
1703060749649472967,20,790.928,542.804,0.0,0.0,0,False
1703060749661832967,20,793.509,560.233,0.0,0.0,0,False
1703060749664815967,20,802.155,586.785,0.0,0.0,0,False
1703060749671121967,20,799.863,579.135,0.0,0.0,0,False
1703060749675456967,20,787.262,556.287,0.0,0.0,0,False
1703060749680881967,20,802.286,572.96,0.0,0.0,0,False
